"","fullName","country","politicalGroup","PoliticalInfluence","SocialInfluence","OverallInfluence"
"1","Magdalena ADAMOWICZ","Poland","Group of the European People's Party (Christian Democrats)",77,24,50
"2","Asim ADEMOV","Bulgaria","Group of the European People's Party (Christian Democrats)",67,36,52
"3","Isabella ADINOLFI","Italy","Group of the European People's Party (Christian Democrats)",10,76,43
"4","Matteo ADINOLFI","Italy","Identity and Democracy Group",78,18,48
"5","Alex AGIUS SALIBA","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",100,17,58
"6","Mazaly AGUILAR","Spain","European Conservatives and Reformists Group",75,44,60
"7","Clara AGUILERA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",41,68,54
"8","Alviina ALAMETSÄ","Finland","Group of the Greens/European Free Alliance",0,7,4
"9","François ALFONSI","France","Group of the Greens/European Free Alliance",14,78,46
"10","Atidzhe ALIEVA-VELI","Bulgaria","Renew Europe Group",8,65,36
"11","Abir AL-SAHLANI","Sweden","Renew Europe Group",93,87,90
"12","Álvaro AMARO","Portugal","Group of the European People's Party (Christian Democrats)",53,67,60
"13","Andris AMERIKS","Latvia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,68,66
"14","Rasmus ANDRESEN","Germany","Group of the Greens/European Free Alliance",16,63,40
"15","Barry ANDREWS","Ireland","Renew Europe Group",22,56,39
"16","Eric ANDRIEU","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3,81,42
"17","Mathilde ANDROUËT","France","Identity and Democracy Group",20,55,38
"18","Nikos ANDROULAKIS","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",87,58,72
"19","Marc ANGEL","Luxembourg","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",33,19,26
"20","Gerolf ANNEMANS","Belgium","Identity and Democracy Group",12,63,38
"21","Andrus ANSIP","Estonia","Renew Europe Group",84,95,90
"22","Attila ARA-KOVÁCS","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",68,20,44
"23","Maria ARENA","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",64,88,76
"24","Pascal ARIMONT","Belgium","Group of the European People's Party (Christian Democrats)",57,12,34
"25","Bartosz ARŁUKOWICZ","Poland","Group of the European People's Party (Christian Democrats)",58,8,33
"26","Konstantinos ARVANITIS","Greece","The Left group in the European Parliament - GUE/NGL",57,50,54
"27","Anna-Michelle ASIMAKOPOULOU","Greece","Group of the European People's Party (Christian Democrats)",13,2,8
"28","Manon AUBRY","France","The Left group in the European Parliament - GUE/NGL",27,35,31
"29","Margrete AUKEN","Denmark","Group of the Greens/European Free Alliance",5,9,7
"30","Petras AUŠTREVIČIUS","Lithuania","Renew Europe Group",21,58,40
"31","Carmen AVRAM","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",28,7,18
"32","Malik AZMANI","Netherlands","Renew Europe Group",61,10,36
"33","Simona BALDASSARRE","Italy","Identity and Democracy Group",69,4,36
"34","Marek Paweł BALT","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",8,76,42
"35","Jordan BARDELLA","France","Identity and Democracy Group",69,53,61
"36","Katarina BARLEY","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",99,3,51
"37","Pernando BARRENA ARZA","Spain","The Left group in the European Parliament - GUE/NGL",17,82,50
"38","Pietro BARTOLO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",47,80,64
"39","Traian BĂSESCU","Romania","Group of the European People's Party (Christian Democrats)",99,11,55
"40","Alessandra BASSO","Italy","Identity and Democracy Group",48,98,73
"41","José Ramón BAUZÁ DÍAZ","Spain","Renew Europe Group",83,53,68
"42","Nicolas BAY","France","Identity and Democracy Group",69,93,81
"43","Gunnar BECK","Germany","Identity and Democracy Group",24,76,50
"44","Nicola BEER","Germany","Renew Europe Group",88,1,44
"45","Tiziana BEGHIN","Italy","Non-attached Members",36,43,40
"46","Aurélia BEIGNEUX","France","Identity and Democracy Group",24,62,43
"47","Marek BELKA","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",30,67,48
"48","François-Xavier BELLAMY","France","Group of the European People's Party (Christian Democrats)",9,63,36
"49","Brando BENIFEI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",89,0,44
"50","Isabel BENJUMEA BENJUMEA","Spain","Group of the European People's Party (Christian Democrats)",29,54,42
"51","Monika BEŇOVÁ","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",35,74,54
"52","Hildegard BENTELE","Germany","Group of the European People's Party (Christian Democrats)",58,33,46
"53","Tom BERENDSEN","Netherlands","Group of the European People's Party (Christian Democrats)",88,61,74
"54","Lars Patrick BERG","Germany","European Conservatives and Reformists Group",99,46,72
"55","Stefan BERGER","Germany","Group of the European People's Party (Christian Democrats)",94,34,64
"56","Erik BERGKVIST","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",60,70,65
"57","Sergio BERLATO","Italy","European Conservatives and Reformists Group",50,52,51
"58","Silvio BERLUSCONI","Italy","Group of the European People's Party (Christian Democrats)",77,49,63
"59","Robert BIEDROŃ","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",71,91,81
"60","Adam BIELAN","Poland","European Conservatives and Reformists Group",52,50,51
"61","Stéphane BIJOUX","France","Renew Europe Group",22,90,56
"62","Izaskun BILBAO BARANDICA","Spain","Renew Europe Group",48,36,42
"63","Vladimír BILČÍK","Slovakia","Group of the European People's Party (Christian Democrats)",60,32,46
"64","Dominique BILDE","France","Identity and Democracy Group",26,58,42
"65","Gabriele BISCHOFF","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",14,57,36
"66","Benoît BITEAU","France","Group of the Greens/European Free Alliance",90,88,89
"67","Mara BIZZOTTO","Italy","Identity and Democracy Group",44,30,37
"68","Malin BJÖRK","Sweden","The Left group in the European Parliament - GUE/NGL",100,5,52
"69","Vasile BLAGA","Romania","Group of the European People's Party (Christian Democrats)",13,46,30
"70","Michael BLOSS","Germany","Group of the Greens/European Free Alliance",19,48,34
"71","Andrea BOCSKOR","Hungary","Non-attached Members",17,36,26
"72","Damian BOESELAGER","Germany","Group of the Greens/European Free Alliance",12,60,36
"73","Ioan-Rareş BOGDAN","Romania","Group of the European People's Party (Christian Democrats)",16,39,28
"74","Franc BOGOVIČ","Slovenia","Group of the European People's Party (Christian Democrats)",98,48,73
"75","Manuel BOMPARD","France","The Left group in the European Parliament - GUE/NGL",37,46,42
"76","Simona BONAFÈ","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",10,44,27
"77","Anna BONFRISCO","Italy","Identity and Democracy Group",15,43,29
"78","Paolo BORCHIA","Italy","Identity and Democracy Group",60,86,73
"79","Biljana BORZAN","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",68,49,58
"80","Marc BOTENGA","Belgium","The Left group in the European Parliament - GUE/NGL",18,91,54
"81","Vlad-Marius BOTOŞ","Romania","Renew Europe Group",61,92,76
"82","Geert BOURGEOIS","Belgium","European Conservatives and Reformists Group",28,85,56
"83","Gilles BOYER","France","Renew Europe Group",15,99,57
"84","Patrick BREYER","Germany","Group of the Greens/European Free Alliance",97,16,56
"85","Milan BRGLEZ","Slovenia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",15,76,46
"86","Saskia BRICMONT","Belgium","Group of the Greens/European Free Alliance",68,21,44
"87","Joachim Stanisław BRUDZIŃSKI","Poland","European Conservatives and Reformists Group",7,43,25
"88","Annika BRUNA","France","Identity and Democracy Group",79,67,73
